X,Y,country_code,country_name,city,latitude,longitude,nb_users,percent
9.7,4.0502778,CM,Cameroon,,4.0502778,9.7,545,100
10.0472,5.4459,CM,Cameroon,Dschang,5.4459,10.0472,8,001.4678899082568808
10.4172,5.3674,CM,Cameroon,Bandjoun,5.3674,10.4172,2,000.3669724770642202
13.4,9.3,CM,Cameroon,Garoua,9.3,13.4,1,000.1834862385321101
13.5833333,7.3166667,CM,Cameroon,Ngaoundéré,7.3166667,13.5833333,1,000.1834862385321101
10.4166667,5.4666667,CM,Cameroon,Bafoussam,5.4666667,10.4166667,5,000.9174311926605505
14.3247222,10.5955556,CM,Cameroon,Maroua,10.5955556,14.3247222,6,001.1009174311926606
9.2453,4.1482,CM,Cameroon,Buea,4.1482,9.2453,97,017.79816513761468
11.5166667,3.8666667,CM,Cameroon,Yaounde,3.8666667,11.5166667,45,008.256880733944955
9.1954,4.0225,CM,Cameroon,Limbe,4.0225,9.1954,5,000.9174311926605505
9.7,4.0502778,CM,Cameroon,Douala,4.0502778,9.7,131,024.036697247706423
9.445,4.6333,CM,Cameroon,Kumba,4.6333,9.445,1,000.1834862385321101
13.6833333,4.5833333,CM,Cameroon,Bertoua,4.5833333,13.6833333,1,000.1834862385321101
10.1666667,5.9333333,CM,Cameroon,Bamenda,5.9333333,10.1666667,28,005.137614678899083
11.5166667,3.8666667,CM,Cameroon,Yaoundé,3.8666667,11.5166667,63,011.559633027522936
10.25572,5.99256,CM,Cameroon,Bambili,5.99256,10.25572,3,000.5504587155963303
